現	Han
보	Hangul
如	Han
—	General Punctuation
झ	Devanagari
ス	Katakana
イ	Katakana
우	Hangul
而	Han
ཨ	Tibetan
ড	Bengali
ढ	Devanagari
也	Han
여	Hangul
ফ	Bengali
ธ	Thai
인	Hangul
ៃ	Khmer
作	Han
ཇ	Tibetan
、	CJK Symbols and Punctuation
ñ	Latin-1 Supplement[h]
ň	Latin
很	Han
ஏ	Tamil
으	Hangul
為	Han
用	Han
ఈ	Telugu
ಉ	Kannada
子	Han
ಖ	Kannada
ị	Latin
़	Devanagari
죠	Hangul
行	Han
ূ	Bengali
ฉ	Thai
但	Han
和	Han
생	Hangul
ఫ	Telugu
ബ	Malayalam
ญ	Thai
ྩ	Tibetan
ศ	Thai
ྤ	Tibetan
ժ	Armenian
ධ	Sinhala
ắ	Latin
最	Han
저	Hangul
家	Han
스	Hangul
私	Han
成	Han
ච	Sinhala
ೈ	Kannada
ড়	Bengali
者	Han
さ	Hiragana
ß	Latin-1 Supplement[h]
물	Hangul
ち	Hiragana
օ	Armenian
០	Khmer
け	Hiragana
都	Han
物	Han
リ	Katakana
러	Hangul
ษ	Thai
ď	Latin
정	Hangul
：	Halfwidth and Fullwidth Forms
했	Hangul
ಏ	Kannada
구	Hangul
세	Hangul
前	Han
像	Han
ụ	Latin
世	Han
ψ	Greek and Coptic
手	Han
ဂ	Myanmar
ഥ	Malayalam
할	Hangul
ឡ	Khmer
적	Hangul
모	Hangul
方	Han
전	Hangul
분	Hangul
」	CJK Symbols and Punctuation
來	Han
ཙ	Tibetan
ト	Katakana
法	Han
ッ	Katakana
做	Han
得	Han
會	Han
つ	Hiragana
会	Han
間	Han
ճ	Armenian
ූ	Sinhala
動	Han
意	Han
果	Han
ृ	Devanagari
ẽ	Latin
ằ	Latin
ภ	Thai
ừ	Latin
重	Han
១	Khmer
과	Hangul
小	Han
め	Hiragana
부	Hangul
化	Han
ဗ	Myanmar
실	Hangul
야	Hangul
之	Han
其	Han
데	Hangul
界	Han
상	Hangul
常	Han
ঁ	Bengali
ྗ	Tibetan
感	Han
때	Hangul
면	Hangul
下	Han
せ	Hiragana
ෑ	Sinhala
ஸ	Tamil
起	Han
知	Han
么	Han
相	Han
ථ	Sinhala
합	Hangul
었	Hangul
道	Han
部	Han
„	General Punctuation
ど	Hiragana
ઘ	Gujarati
什	Han
ओ	Devanagari
ク	Katakana
ồ	Latin
థ	Telugu
일	Hangul
¿	Latin-1 Supplement[h]
や	Hiragana
「	CJK Symbols and Punctuation
건	Hangul
거	Hangul
本	Han
度	Han
始	Han
發	Han
ৃ	Bengali
比	Han
ཧ	Tibetan
え	Hiragana
正	Han
ൈ	Malayalam
笑	Han
面	Han
麼	Han
同	Han
ặ	Latin
ྙ	Tibetan
文	Han
័	Khmer
오	Hangul
ฟ	Thai
१	Devanagari
말	Hangul
定	Han
ཊ	Tibetan
学	Han
或	Han
说	Han
美	Han
ఖ	Telugu
何	Han
০	Bengali
주	Hangul
래	Hangul
૦	Gujarati
٠	Arabic
見	Han
真	Han
ఏ	Telugu
උ	Sinhala
ྷ	Tibetan
好	Han
෴	Sinhala
ආ	Sinhala
ـ	Arabic
入	Han
ឌ	Khmer
ಫ	Kannada
घ	Devanagari
ń	Latin
国	Han
把	Han
新	Han
时	Han
음	Hangul
ഡ	Malayalam
信	Han
진	Hangul
භ	Sinhala
性	Han
되	Hangul
ổ	Latin
ル	Katakana
공	Hangul
三	Han
天	Han
思	Han
ჯ	Georgian
情	Han
ঙ	Bengali
全	Han
단	Hangul
õ	Latin-1 Supplement[h]
ף	Hebrew
ؤ	Arabic
신	Hangul
়	Bengali
동	Hangul
까	Hangul
非	Han
理	Han
계	Hangul
ྣ	Tibetan
当	Han
ဉ	Myanmar
ృ	Telugu
立	Han
ラ	Katakana
́	Others
ཛ	Tibetan
プ	Katakana
日	Han
ロ	Katakana
ア	Katakana
通	Han
テ	Katakana
力	Han
ඥ	Sinhala
然	Han
ഈ	Malayalam
再	Han
៥	Khmer
람	Hangul
ऊ	Devanagari
ૉ	Gujarati
ೃ	Kannada
工	Han
数	Han
声	Han
각	Hangul
己	Han
合	Han
ឿ	Khmer
ঠ	Bengali
於	Han
발	Hangul
教	Han
今	Han
說	Han
機	Han
開	Han
학	Hangul
過	Han
화	Hangul
ű	Latin
言	Han
않	Hangul
发	Han
ঘ	Bengali
使	Han
明	Han
무	Hangul
마	Hangul
次	Han
解	Han
미	Hangul
造	Han
̀	Others
彼	Han
計	Han
わ	Hiragana
바	Hangul
後	Han
`	Basic Latin[g]
៧	Khmer
ỏ	Latin
ば	Hiragana
公	Han
중	Hangul
ៗ	Khmer
२	Devanagari
活	Han
女	Han
進	Han
告	Han
现	Han
开	Han
斯	Han
考	Han
ジ	Katakana
와	Hangul
트	Hangul
式	Han
간	Hangul
題	Han
程	Han
더	Hangul
ឃ	Khmer
命	Han
장	Hangul
၀	Myanmar
ඕ	Sinhala
ỉ	Latin
体	Han
目	Han
实	Han
已	Han
문	Hangul
于	Han
回	Han
二	Han
位	Han
樣	Han
種	Han
조	Hangul
后	Han
ज़	Devanagari
용	Hangul
問	Han
展	Han
फ़	Devanagari
當	Han
ჭ	Georgian
更	Han
建	Han
器	Han
디	Hangul
去	Han
년	Hangul
她	Han
シ	Katakana
學	Han
利	Han
직	Hangul
ُ	Arabic
受	Han
ឋ	Khmer
品	Han
必	Han
第	Han
ょ	Hiragana
ઠ	Gujarati
༠	Tibetan
ĩ	Latin
ử	Latin
런	Hangul
ឥ	Khmer
ৈ	Bengali
៍	Khmer
过	Han
성	Hangul
孩	Han
名	Han
特	Han
被	Han
经	Han
՞	Armenian
种	Han
៩	Khmer
국	Hangul
カ	Katakana
掌	Han
비	Hangul
ഫ	Malayalam
病	Han
候	Han
主	Han
影	Han
안	Hangul
放	Han
터	Hangul
样	Han
お	Hiragana
ៈ	Khmer
명	Hangul
此	Han
高	Han
드	Hangul
科	Han
謝	Han
基	Han
위	Hangul
越	Han
加	Han
實	Han
里	Han
ञ	Devanagari
ャ	Katakana
ฝ	Thai
ź	Latin
・	Katakana
ൃ	Malayalam
讓	Han
只	Han
관	Hangul
素	Han
ౖ	Telugu
动	Han
對	Han
チ	Katakana
拍	Han
各	Han
술	Hangul
キ	Katakana
ィ	Katakana
表	Han
유	Hangul
切	Han
ჰ	Georgian
算	Han
ဇ	Myanmar
心	Han
ഏ	Malayalam
ڼ	Arabic
！	Halfwidth and Fullwidth Forms
集	Han
ঞ	Bengali
ॉ	Devanagari
点	Han
結	Han
少	Han
金	Han
ඊ	Sinhala
질	Hangul
バ	Katakana
著	Han
ဦ	Myanmar
ဏ	Myanmar
及	Han
机	Han
ឯ	Khmer
ྔ	Tibetan
從	Han
レ	Katakana
১	Bengali
神	Han
내	Hangul
将	Han
ِ	Arabic
並	Han
着	Han
행	Hangul
グ	Katakana
원	Hangul
代	Han
音	Han
政	Han
境	Han
ũ	Latin
存	Han
料	Han
ム	Katakana
좋	Hangul
經	Han
メ	Katakana
制	Han
타	Hangul
給	Han
개	Hangul
든	Hangul
남	Hangul
呢	Han
與	Han
ほ	Hiragana
コ	Katakana
パ	Katakana
完	Han
設	Han
ず	Hiragana
形	Han
없	Hangul
兩	Han
예	Hangul
示	Han
タ	Katakana
对	Han
ฐ	Thai
フ	Katakana
운	Hangul
星	Han
接	Han
民	Han
近	Han
任	Han
將	Han
需	Han
경	Hangul
國	Han
١	Arabic
交	Han
片	Han
ೌ	Kannada
给	Han
決	Han
模	Han
ỗ	Latin
ド	Katakana
每	Han
작	Hangul
ෞ	Sinhala
ઝ	Gujarati
방	Hangul
ঝ	Bengali
웃	Hangul
技	Han
跟	Han
聲	Han
ឈ	Khmer
태	Hangul
ૈ	Gujarati
볼	Hangul
型	Han
還	Han
量	Han
५	Devanagari
치	Hangul
ङ	Devanagari
流	Han
空	Han
身	Han
電	Han
종	Hangul
९	Devanagari
且	Han
집	Hangul
问	Han
불	Hangul
十	Han
살	Hangul
٢	Arabic
$	Basic Latin[g]
沒	Han
̣	Others
变	Han
西	Han
ྥ	Tibetan
字	Han
み	Hiragana
ץ	Hebrew
양	Hangul
市	Han
没	Han
象	Han
평	Hangul
ّ	Arabic
無	Han
៏	Khmer
았	Hangul
　	CJK Symbols and Punctuation
통	Hangul
೦	Kannada
許	Han
社	Han
石	Han
體	Han
場	Han
関	Han
进	Han
영	Hangul
ဥ	Myanmar
長	Han
식	Hangul
같	Hangul
超	Han
花	Han
究	Han
른	Hangul
럼	Hangul
ૃ	Gujarati
؛	Arabic
՝	Armenian
并	Han
점	Hangul
ऐ	Devanagari
便	Han
ഓ	Malayalam
프	Hangul
取	Han
َ	Arabic
收	Han
府	Han
術	Han
३	Devanagari
让	Han
알	Hangul
裡	Han
ウ	Katakana
デ	Katakana
ٓ	Arabic
ஊ	Tamil
히	Hangul
从	Han
台	Han
原	Han
根	Han
关	Han
四	Han
關	Han
消	Han
義	Han
水	Han
못	Hangul
持	Han
ඟ	Sinhala
ẩ	Latin
ड़	Devanagari
차	Hangul
결	Hangul
재	Hangul
べ	Hiragana
研	Han
诉	Han
車	Han
ྦ	Tibetan
ఘ	Telugu
론	Hangul
처	Hangul
期	Han
ಞ	Kannada
ェ	Katakana
げ	Hiragana
百	Han
ౌ	Telugu
向	Han
気	Han
吧	Han
៦	Khmer
۱	Arabic
球	Han
번	Hangul
探	Han
ڤ	Arabic
演	Han
왔	Hangul
크	Hangul
렇	Hangul
叫	Han
死	Han
怎	Han
細	Han
ご	Hiragana
食	Han
၂	Myanmar
々	CJK Symbols and Punctuation
연	Hangul
업	Hangul
外	Han
걸	Hangul
直	Han
初	Han
置	Han
난	Hangul
微	Han
約	Han
题	Han
光	Han
ৎ	Bengali
ഠ	Malayalam
ミ	Katakana
例	Han
ニ	Katakana
곳	Hangul
》	CJK Symbols and Punctuation
談	Han
향	Hangul
難	Han
법	Hangul
深	Han
系	Han
២	Khmer
능	Hangul
答	Han
萬	Han
１	Halfwidth and Fullwidth Forms
セ	Katakana
発	Han
져	Hangul
色	Han
群	Han
業	Han
험	Hangul
英	Han
还	Han
长	Han
왜	Hangul
ဓ	Myanmar
많	Hangul
겁	Hangul
